count
1039
1018
1000
914
842
722
716
700
668
638
599
594
579
563
546
545
542
542
538
532
531
527
524
513
511
511
502
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
500
498
498
498
496
493
493
492
486
486
486
484
483
483
474
474
473
472
468
468
468
465
463
462
462
456
456
444
438
438
438
436
436
428
426
420
417
416
416
412
408
396
396
396
392
391
390
384
378
376
372
366
366
362
360
354
351
348
347
347
342
328
323
321
318
315
309
306
301
293
291
285
284
280
279
279
265
261
255
252
